ADT,EMC Value,'tEMCQual'1,Parameter,NonDetectFlag
-71,80,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
-71,2,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
-71,0.33,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.06,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.03,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
-122,0.02,'<',"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",TRUE
0,0.32,,"Acenaphthene, bed sediment, recoverable, dry weight, micrograms per kilogram",FALSE
0,0.01,'<',"Acenaphthene, bed sediment, recoverable, dry weight, micrograms per kilogram",TRUE
0,0.1,'<',"Acenaphthene, suspended sediment, recoverable, micrograms per liter",TRUE
0,0.01,'<',"Acenaphthene, suspended sediment, recoverable, micrograms per liter",TRUE
0,0.01,'<',"Acenaphthene, water, filtered, recoverable, micrograms per liter",TRUE
87168,0.02,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
48000,0.25,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.3,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.27,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.21,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.2,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.18,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.17,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.1,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.09,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.08,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.07,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.06,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.05,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.04,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.03,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.02,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.01,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.0094,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.0083,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.008,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.0078,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.0076,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.0069,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.0068,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.0052,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
0,0.0051,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
-70,0.02,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",FALSE
