Parameter ID (tdsUSEPAParameterCodes.txt),S Adt,S Avg Annual Precip,S EMC Value,Site ID,T Data Qualifier,T EMC Qual,T Parameter Name,T Pcode,NonDetectFlag
348,3000,37.6,188,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,37.6,145,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,37.6,107,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,37.6,82.5,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,37.6,72.4,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,37.6,58.5,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,37.6,29.7,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,37.6,25.6,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,37.6,25.4,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,37.6,23.6,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,37.6,19.8,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,37.6,17.8,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,37.6,16.1,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,37.6,14.7,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,37.6,9.4,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,3000,37.6,8,115,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,150000,56.7,15244,114,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,150000,56.7,3612,114,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,150000,56.7,628,114,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,150000,56.7,459,114,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,150000,56.7,127,114,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,51000,31,139,113,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,51000,31,123,113,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,51000,31,120,113,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,41000,31,314,112,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,41000,31,122,112,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,41000,31,121,112,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,120000,36,590,111,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,120000,36,330,111,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,120000,36,320,111,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,350,110,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,170,110,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,110,110,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,56,110,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,54,110,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,50,110,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,39,110,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,34,110,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,26,110,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,180,109,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,160,109,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,140,109,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,97,109,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,94,109,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,88,109,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,85,109,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,73,109,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,57,109,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,54,109,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,20000,,44,109,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,1200,108,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,350,108,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,250,108,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,210,108,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,200,108,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,190,108,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,180,108,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,170,108,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,130,108,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,120,108,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,100,108,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,91,108,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,86,108,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,55,108,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,53,108,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,48,108,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,42,107,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,90000,,29,107,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
