SITE_ID,YEAR,WEEK,DATEON,DATEOFF,SO2_CONC,SO4_CONC,NO3_CONC,HNO3_CONC,TNO3_CONC,NH4_CONC,CA_CONC,NA_CONC,MG_CONC,K_CONC,CL_CONC
MOR409,2010,34,2010/08/17,2010/08/24,0.229,0.79,0.269,0.336,0.6,0.164,0.034,0.241,0.033,0.036,0.016
MOR409,2010,35,2010/08/24,2010/08/31,0.218,0.855,0.323,0.215,0.534,0.241,0.037,0.261,0.034,0.037,0.114
MOR409,2010,36,2010/08/31,2010/09/07,0.161,0.614,0.116,0.093,0.207,0.155,0.019,0.219,0.028,0.049,0.194
MOR409,2011,31,2011/08/02,2011/08/09,0.139,1.157,0.228,0.413,0.634,0.339,0.036,0.22,0.031,0.038,0.018
MOR409,2011,32,2011/08/09,2011/08/16,0.133,1.256,0.054,0.468,0.515,0.393,0.034,0.101,0.017,0.031,0.017
MOR409,2011,33,2011/08/16,2011/08/23,0.22,0.876,0.051,0.462,0.505,0.27,0.044,0.058,0.015,0.04,0.017
MOR409,2011,34,2011/08/23,2011/08/30,0.219,1.004,0.06,0.479,0.531,0.306,0.037,0.085,0.016,0.044,0.016
MOR409,2011,35,2011/08/30,2011/09/06,0.244,1.125,0.178,0.395,0.567,0.28,0.055,0.211,0.033,0.056,0.016
MOR409,2012,32,2012/08/07,2012/08/14,0.286,0.897,0.057,0.586,0.634,0.269,0.063,0.069,0.017,0.05,0.016
MOR409,2012,33,2012/08/14,2012/08/21,0.22,0.669,0.066,0.444,0.503,0.206,0.045,0.069,0.015,0.077,0.017
MOR409,2012,34,2012/08/21,2012/08/28,0.126,0.727,0.163,0.312,0.47,0.213,0.028,0.153,0.022,0.046,0.016
MOR409,2012,35,2012/08/28,2012/09/04,0.14,0.918,0.228,0.333,0.556,0.243,0.027,0.188,0.025,0.029,0.017
MOR409,2009,36,2009/09/01,2009/09/08,0.084,0.618,0.116,0.144,0.257,0.154,0.016,0.127,0.018,0.072,0.03
MOR409,2009,37,2009/09/08,2009/09/15,0.126,0.61,0.089,0.258,0.343,0.16,0.027,0.082,0.016,0.076,0.014
MOR409,2009,38,2009/09/15,2009/09/22,0.106,0.539,0.195,0.123,0.316,0.105,0.023,0.205,0.028,0.078,0.095
MOR409,2009,39,2009/09/22,2009/09/29,0.186,0.829,0.119,0.422,0.534,0.184,0.035,0.147,0.022,0.046,0.019
MOR409,2009,40,2009/09/29,2009/10/06,0.114,0.581,0.14,0.121,0.259,0.151,0.017,0.133,0.018,0.272,0.024
MOR409,2010,37,2010/09/07,2010/09/14,0.117,0.697,0.079,0.095,0.173,0.199,0.022,0.073,0.015,0.067,0.02
MOR409,2010,38,2010/09/14,2010/09/21,0.075,0.313,0.049,0.034,0.083,0.108,0.01,0.021,0.007,0.073,0.019
MOR409,2010,39,2010/09/21,2010/09/28,0.074,0.463,0.157,0.056,0.212,0.123,0.015,0.08,0.014,0.073,0.031
MOR409,2010,40,2010/09/28,2010/10/05,0.103,0.74,0.329,0.25,0.575,0.232,0.022,0.128,0.02,0.061,0.035
MOR409,2011,36,2011/09/06,2011/09/13,0.228,0.861,0.056,0.443,0.492,0.274,0.061,0.052,0.015,0.059,0.016
MOR409,2011,37,2011/09/13,2011/09/20,0.071,0.808,0.108,0.22,0.325,0.163,0.024,0.199,0.028,0.046,0.034
MOR409,2011,38,2011/09/20,2011/09/27,0.08,0.431,0.089,0.09,0.178,0.115,0.022,0.11,0.017,0.043,0.093
MOR409,2011,39,2011/09/27,2011/10/04,0.101,0.423,0.226,0.088,0.312,0.098,0.019,0.18,0.024,0.052,0.081
MOR409,2012,36,2012/09/04,2012/09/11,0.201,0.604,0.144,0.367,0.505,0.166,0.041,0.16,0.024,0.039,0.084
MOR409,2012,37,2012/09/11,2012/09/18,0.238,0.65,0.054,0.455,0.502,0.216,0.041,0.09,0.018,0.088,0.015
MOR409,2012,38,2012/09/18,2012/09/25,0.132,0.812,0.064,0.37,0.428,0.312,0.03,0.06,0.013,0.05,0.019
MOR409,2012,39,2012/09/25,2012/10/02,0.131,0.846,0.095,0.433,0.522,0.245,0.03,0.131,0.019,0.038,0.016
MOR409,2009,41,2009/10/06,2009/10/13,0.184,0.746,0.111,0.21,0.318,0.254,0.027,0.048,0.009,0.053,0.019
MOR409,2009,42,2009/10/13,2009/10/20,0.08,0.329,0.117,0.039,0.156,0.094,0.009,0.073,0.011,0.045,0.037
MOR409,2009,43,2009/10/20,2009/10/27,0.183,0.388,0.176,0.082,0.257,0.084,0.015,0.215,0.027,0.139,0.294
MOR409,2009,44,2009/10/27,2009/11/03,0.07,0.245,0.097,0.035,0.131,0.044,0.009,0.108,0.014,0.037,0.102
MOR409,2010,41,2010/10/05,2010/10/12,0.075,0.432,0.142,0.083,0.223,0.062,0.021,0.231,0.031,0.053,0.174
MOR409,2010,42,2010/10/12,2010/10/19,0.112,0.61,0.084,0.071,0.153,0.158,0.028,0.083,0.016,0.05,0.032
MOR409,2010,43,2010/10/19,2010/10/26,0.07,0.433,0.08,0.058,0.137,0.122,0.019,0.153,0.021,0.052,0.159
MOR409,2010,44,2010/10/26,2010/11/02,0.08,0.152,0.05,0.03,0.079,0.053,0.009,0.072,0.01,0.028,0.092
MOR409,2011,40,2011/10/04,2011/10/11,0.075,0.257,0.059,0.035,0.094,0.102,0.007,0.055,0.009,0.047,0.052
MOR409,2011,41,2011/10/11,2011/10/18,0.065,0.564,0.179,0.188,0.363,0.145,0.016,0.124,0.018,0.069,0.016
MOR409,2011,42,2011/10/18,2011/10/25,0.071,0.494,0.156,0.073,0.228,0.111,0.014,0.144,0.02,0.054,0.05
MOR409,2011,43,2011/10/25,2011/11/01,0.077,0.559,0.116,0.07,0.185,0.143,0.018,0.206,0.027,0.048,0.205
MOR409,2012,40,2012/10/02,2012/10/09,0.217,0.587,0.117,0.299,0.411,0.207,0.057,0.068,0.016,0.041,0.017
MOR409,2012,41,2012/10/09,2012/10/16,0.096,0.402,0.069,0.245,0.311,0.16,0.013,0.058,0.009,0.03,0.054
MOR409,2012,42,2012/10/16,2012/10/23,0.07,0.244,0.058,0.03,0.088,0.073,0.011,0.11,0.014,0.029,0.151
MOR409,2012,43,2012/10/23,2012/10/30,0.068,0.145,0.034,0.03,0.064,0.051,0.007,0.051,0.007,0.038,0.068
MOR409,2012,44,2012/10/30,2012/11/06,0.067,0.098,0.055,0.03,0.084,0.038,0.007,0.084,0.012,0.056,0.137
MOR409,2009,45,2009/11/03,2009/11/10,0.087,0.191,0.057,0.039,0.095,0.055,0.009,0.069,0.009,0.091,0.084
MOR409,2009,46,2009/11/10,2009/11/17,0.272,0.246,0.121,0.123,0.242,0.088,0.04,0.13,0.016,0.029,0.234
MOR409,2009,47,2009/11/17,2009/11/24,0.227,0.126,0.101,0.102,0.201,0.073,0.018,0.072,0.009,0.031,0.138
